! year          LOD
! [a]           [ms]
  1964.888      2.175
  1964.891      2.023
  1964.894      1.980
  1964.897      2.052
  1964.899      2.174
  1964.902      2.324
  1964.905      2.444
  1964.908      2.525
  1964.910      2.524
  1964.913      2.477
  1964.916      2.376
  1964.919      2.233
  1964.921      2.091
  1964.924      1.961
  1964.927      1.866
  1964.930      1.832
  1964.932      1.839
  1964.935      1.918
  1964.938      2.030
  1964.940      2.193
  1964.943      2.380
  1964.946      2.562
  1964.949      2.715
  1964.951      2.815
  1964.954      2.820
  1964.957      2.711
  1964.960      2.525
  1964.962      2.302
  1964.965      2.104
  1964.968      2.001
  1964.971      2.015
  1964.973      2.123
  1964.976      2.266
  1964.979      2.386
  1964.982      2.430
  1964.984      2.402
  1964.987      2.301
  1964.990      2.146
  1964.992      1.960
  1964.995      1.766
  1964.998      1.583
  1965.001      1.430
  1965.003      1.333
  1965.006      1.294
  1965.009      1.315
  1965.012      1.393
  1965.014      1.523
  1965.017      1.677
  1965.020      1.834
  1965.023      1.973
  1965.025      2.081
  1965.028      2.125
  1965.031      2.097
  1965.034      1.996
  1965.036      1.851
  1965.039      1.710
  1965.042      1.636
  1965.044      1.675
  1965.047      1.826
  1965.050      2.067
  1965.053      2.307
  1965.055      2.465
  1965.058      2.537
  1965.061      2.506
  1965.064      2.404
  1965.066      2.263
  1965.069      2.112
  1965.072      1.965
  1965.075      1.839
  1965.077      1.759
  1965.080      1.726
  1965.083      1.763
  1965.086      1.850
  1965.088      1.994
  1965.091      2.157
  1965.094      2.324
  1965.097      2.460
  1965.099      2.561
  1965.102      2.590
  1965.105      2.535
  1965.107      2.420
  1965.110      2.254
  1965.113      2.077
  1965.116      1.944
  1965.118      1.905
  1965.121      1.973
  1965.124      2.157
  1965.127      2.378
  1965.129      2.564
  1965.132      2.659
  1965.135      2.643
  1965.138      2.539
  1965.140      2.373
  1965.143      2.194
  1965.146      2.023
  1965.149      1.894
  1965.151      1.803
  1965.154      1.781
  1965.157      1.812
  1965.159      1.925
  1965.162      2.082
  1965.165      2.275
  1965.168      2.483
  1965.170      2.676
  1965.173      2.823
  1965.176      2.899
  1965.179      2.894
  1965.181      2.803
  1965.184      2.671
  1965.187      2.527
  1965.190      2.406
  1965.192      2.365
  1965.195      2.422
  1965.198      2.582
  1965.201      2.809
  1965.203      3.028
  1965.206      3.184
  1965.209      3.235
  1965.211      3.173
  1965.214      3.021
  1965.217      2.820
  1965.220      2.612
  1965.222      2.428
  1965.225      2.290
  1965.228      2.223
  1965.231      2.212
  1965.233      2.276
  1965.236      2.388
  1965.239      2.545
  1965.242      2.737
  1965.244      2.928
  1965.247      3.076
  1965.250      3.157
  1965.253      3.148
  1965.255      3.047
  1965.258      2.877
  1965.261      2.673
  1965.264      2.507
  1965.266      2.406
  1965.269      2.416
  1965.272      2.518
  1965.274      2.696
  1965.277      2.901
  1965.280      3.072
  1965.283      3.153
  1965.285      3.127
  1965.288      3.000
  1965.291      2.793
  1965.294      2.557
  1965.296      2.318
  1965.299      2.117
  1965.302      1.973
  1965.305      1.905
  1965.307      1.906
  1965.310      1.959
  1965.313      2.070
  1965.316      2.214
  1965.318      2.379
  1965.321      2.529
  1965.324      2.631
  1965.326      2.662
  1965.329      2.593
  1965.332      2.442
  1965.335      2.231
  1965.337      2.047
  1965.340      1.931
  1965.343      1.908
  1965.346      1.993
  1965.348      2.166
  1965.351      2.373
  1965.354      2.551
  1965.357      2.665
  1965.359      2.699
  1965.362      2.629
  1965.365      2.473
  1965.368      2.283
  1965.370      2.085
  1965.373      1.912
  1965.376      1.777
  1965.379      1.705
  1965.381      1.712
  1965.384      1.774
  1965.387      1.898
  1965.389      2.047
  1965.392      2.223
  1965.395      2.394
  1965.398      2.527
  1965.400      2.611
  1965.403      2.597
  1965.406      2.496
  1965.409      2.307
  1965.411      2.103
  1965.414      1.934
  1965.417      1.863
  1965.420      1.921
  1965.422      2.065
  1965.425      2.251
  1965.428      2.431
  1965.431      2.537
  1965.433      2.565
  1965.436      2.505
  1965.439      2.363
  1965.441      2.175
  1965.444      1.974
  1965.447      1.788
  1965.450      1.632
  1965.452      1.522
  1965.455      1.488
  1965.458      1.500
  1965.461      1.567
  1965.463      1.663
  1965.466      1.788
  1965.469      1.900
  1965.472      2.002
  1965.474      2.032
  1965.477      2.005
  1965.480      1.914
  1965.483      1.739
  1965.485      1.523
  1965.488      1.317
  1965.491      1.187
  1965.493      1.198
  1965.496      1.328
  1965.499      1.537
  1965.502      1.756
  1965.504      1.918
  1965.507      1.970
  1965.510      1.930
  1965.513      1.811
  1965.515      1.646
  1965.518      1.480
  1965.521      1.319
  1965.524      1.195
  1965.526      1.134
  1965.529      1.125
  1965.532      1.190
  1965.535      1.303
  1965.537      1.449
  1965.540      1.617
  1965.543      1.774
  1965.546      1.919
  1965.548      2.015
  1965.551      2.047
  1965.554      2.020
  1965.556      1.902
  1965.559      1.726
  1965.562      1.554
  1965.565      1.418
  1965.567      1.396
  1965.570      1.501
  1965.573      1.710
  1965.576      1.944
  1965.578      2.143
  1965.581      2.226
  1965.584      2.192
  1965.587      2.044
  1965.589      1.843
  1965.592      1.624
  1965.595      1.413
  1965.598      1.243
  1965.600      1.138
  1965.603      1.096
  1965.606      1.118
  1965.608      1.200
  1965.611      1.338
  1965.614      1.504
  1965.617      1.674
  1965.619      1.832
  1965.622      1.948
  1965.625      2.007
  1965.628      2.011
  1965.630      1.942
  1965.633      1.831
  1965.636      1.689
  1965.639      1.582
  1965.641      1.553
  1965.644      1.643
  1965.647      1.842
  1965.650      2.127
  1965.652      2.408
  1965.655      2.596
  1965.658      2.652
  1965.661      2.573
  1965.663      2.396
  1965.666      2.176
  1965.669      1.953
  1965.671      1.773
  1965.674      1.663
  1965.677      1.612
  1965.680      1.619
  1965.682      1.699
  1965.685      1.819
  1965.688      1.984
  1965.691      2.159
  1965.693      2.310
  1965.696      2.431
  1965.699      2.491
  1965.702      2.478
  1965.704      2.405
  1965.707      2.279
  1965.710      2.132
  1965.713      2.003
  1965.715      1.939
  1965.718      1.977
  1965.721      2.141
  1965.723      2.400
  1965.726      2.696
  1965.729      2.952
  1965.732      3.088
  1965.734      3.094
  1965.737      2.982
  1965.740      2.771
  1965.743      2.528
  1965.745      2.324
  1965.748      2.169
  1965.751      2.078
  1965.754      2.061
  1965.756      2.113
  1965.759      2.213
  1965.762      2.342
  1965.765      2.491
  1965.767      2.644
  1965.770      2.758
  1965.773      2.825
  1965.775      2.817
  1965.778      2.728
  1965.781      2.570
  1965.784      2.377
  1965.786      2.196
  1965.789      2.065
  1965.792      2.038
  1965.795      2.132
  1965.797      2.322
  1965.800      2.567
  1965.803      2.815
  1965.806      2.989
